8 月 20 日至 8 月 24 日晚餐,,,,
馒头花卷,馒头花卷,馒头花卷,馒头花卷,馒头花卷
玉米发糕,煎饺,手撕饼,芝麻烧饼,鸡蛋饼
疙瘩汤,绿豆汤,蛋花汤,酸梅汤,银耳汤
素炒饼,蒸玉米,豆角焖面,蒸杂粮,爽口凉面
时令水果,时令水果,时令水果,时令水果,时令水果
,,,,
8 月 13 日至 8 月 17 日午餐（B 座）,,,,
周一,周二,周三,周四,周五
虎眼丸子,香辣鸡腿,风味飘香鸭,黄豆猪蹄,口水鸡
辣子鱼,海带炖肉,水煮肉片,鱼香藕夹,酸汤肥牛
双色豆苗,蒜香茄条,川拌凉粉,素什锦,双耳爆甘蓝
青椒土豆丝,西红柿鸡蛋,老厨白菜,酸菜鸭血,香菇烩西葫
香拌红肠,椒麻肝尖,蒜肠拌木耳,五香手撕肉,农家小炒肉
炸酱面,蒸玉米,豆角拌面,煮毛豆,鸡蛋炒饼
面食三种,面食三种,面食三种,面食三种,面食三种
疙瘩汤,雪梨银耳汤,番茄蛋花汤,绿豆汤,紫菜蛋花汤
酸奶,李子,水果,香梨,水果
,蛋糕,,驴打滚,
,,,,
8 月 13 日至 8 月 17 日午餐（A 座）,,,,
周一,周二,周三,周四,周五
红烧狮子头,芸豆烧猪蹄,鹌鹑蛋红烧肉,红烩大排,咖喱牛腩
川香酸菜鱼,水煮肉片,杏鲍菇炒肉,黄金鸡柳,麻辣烫
木须鸡蛋,香菇蚝油生菜,西红柿炒鸡蛋,西芹粉条,手撕绿甘蓝
蒜泥茄条,双椒土豆丝,上汤娃娃菜,蟹柳西葫芦,耗油冬瓜
酱香鸭翅,拉皮拌鸡丝,双耳拌红肠,红油饵丝,五香鸡胗
蒸红薯,鸡蛋炒饼,蒸玉米,风味凉面,炒河粉
面食三种,面食三种,面食三种,面食三种,面食三种
稻花香米,稻花香米,稻花香米,稻花香米,稻花香米
绿豆汤,银耳雪梨汤,绿豆汤,酸梅汤,绿豆汤
水果,水果,水果,水果,水果
,西点,,西点,
,,,,
8 月 13 日至 8 月 17 日早餐,,,,
周一,周二,周三,周四,周五
豇豆肉馅饼,烧饼夹腿排,蒸饺,香酥双鸡堡,梅干菜肉包子
香菇青菜包,发糕,油条,德克士鸡块,麻团
煮鸡蛋,鸡蛋,茶鸡蛋,玉米汁,鸡蛋
咸菜,琥珀金丝菜,咸菜,,咸菜
香芹豆干,小炒土豆丁,豆腐脑,,小柿子
养胃小米粥,南瓜粥,,,八宝粥
,,,,
8 月 6 日至 8 月 10 日晚餐,,,,
周一,周二,周三,周四,周五
梅菜扣肉,红烧狮子头,一品排骨,香酥鸭,风味飘香鸡
鱼香肉丝,肉丝豇豆,小炒肉,麻辣香锅,水煮肉片
杏鲍菇炒五花,香辣毛血旺,西葫炒鸡丁,醋溜木须,家乡回锅肉
炝拌土豆丝,西红柿鸡蛋,烧茄子,什锦莲藕,蒜香茄条
木耳蒯菜,烧二冬,豉油包菜,香菇油菜,蕃茄土豆片
米饭,米饭,米饭,米饭,米饭
馒头花卷,馒头花卷,馒头花卷,馒头花卷,馒头花卷
双色发糕,手撕饼,煎饺,鸡蛋饼,芝麻烧饼
疙瘩汤,银耳汤,紫菜蛋花汤,绿豆汤,鸡蛋汤
陕西凉皮,素炒饼,麻酱凉面,豆角焖面,蒸杂粮
时令水果,酸奶,时令水果,酸奶,时令水果
,,,,
8 月 6 日至 8 月 10 日午餐（B  座）,,,,
周一,周二,周三,周四,周五
铁锅焖大鹅,红焖牛肉,香酥鸡翅,椒盐小黄鱼,酸白菜腔骨
苔干菜烧肉,重庆辣子鸡,西芹目鱼花,干豇豆扣肉,清炒虾仁
珍珠南瓜,雪菜烧腐竹,尖椒土豆片,荷塘小炒,双豆冬瓜
香干小白菜,清炒苦瓜,清炒油菜,素鱿鱼油菜,鲜椒大白菜
香辣肚丝,风味肘花,川味拌猪心,蒜汁酱肉,青瓜腊肠
凉皮/牛筋面,蒸玉米,川味凉面,煮花生,鸡蛋炒河粉
面食三种,面食三种,面食三种,面食三种,面食三种
番茄蛋花汤,酸辣汤,酸梅汤,紫菜蛋花汤,银耳汤
酸奶,油桃,酸奶,香蕉,酸奶
,,小桃酥,卷心蛋糕,
,,,,
8 月 6 日至 8 月 10 日午餐（A 座）,,,,
周一,周二,周三,周四,周五
海带红烧肉,胡萝烧牛腩,人参烧排骨,干炸带鱼,土豆蒸肉
酱烧翅根,麻辣香菇鱿圈,水煮鸡片,香菇炖小鸡,葱爆羊肉
肉沫豇豆,宽粉圆白菜,蒜蓉时蔬,黄豆芥蓝,蒜蓉菊花菜
清炒油菜,彩椒炒鸡蛋,木耳娃娃菜,青笋炒鸡蛋,三色豆芽
素什锦,凉拌肘花,黄瓜拌蒜肠,凉拌肚丝,夫妻肺片
麻辣凉面,蒸黄玉米,扬州炒饭,凉皮,打卤面
面食三种,面食三种,面食三种,面食三种,面食三种
稻花香米,稻花香米,稻花香米,稻花香米,稻花香米
绿豆汤,酸梅汤,绿豆汤,银耳汤,绿豆汤
酸奶,水果,酸奶,水果,酸奶
,西点,,西点,
,,,,
8 月 6 日至 8 月 10 日早餐,,,,
周一,周二,周三,周四,周五
鲜肉包,肉饼,蒸饺,肉锅贴,肉夹馍
蔬菜软饼+玉米,紫薯包,油条+芋头,麻团,南瓜饼+玉米
煮鸡蛋,鸡蛋,茶鸡蛋,茶鸡蛋,鸡蛋
咸菜,琥珀金丝菜,咸菜,琥珀金丝菜,咸菜
小炒豆嘴,炝拌土豆丝,西芹三丁,小柿子,小黄瓜
南瓜粥,养胃小米粥,豆浆,紫米粥,玉米糁
,,,,
7 月 30 日至 8 月 3 日晚餐,,,,
周一,周二,周三,周四,周五
渝派酸菜鱼,黄豆焖猪手,孜然排骨,鸽蛋海带红烧肉,酱香鸡腿
小炒千叶豆腐,香辣毛血旺,麻辣香锅,土豆鸡块,肉烩双豆
蒜薹炒培根,木须肉,宫保鸡丁,干锅肉片菜花,水煮肉片
香菇油菜,老醋白菜,素烧茄子,银芽炝粉丝,西芹炒双耳
尖椒土豆丝,蒜香三色海带丝,什锦甘蓝,香菇烧西葫,圆白菜粉条
米饭,米饭,米饭,米饭,米饭
馒头花卷,馒头花卷,馒头花卷,馒头花卷,馒头花卷
双色发糕,煎饺,手撕饼,杂粮包,鸡蛋饼
绿豆汤,番茄鸡蛋汤,疙瘩汤,酸梅汤,绿豆汤
陕西凉皮,鸡蛋炒饼,豆角焖面,炒河粉,爽口凉面
酸奶,时令水果,时令水果,酸奶,时令水果
,,,,
7 月 30 日至 8 月 3 日午餐（B 座）,,,,
周一,周二,周三,周四,周五
粉丝蒸扇贝,香江水煮鱼,冬瓜丸子,孜然炒肉,板栗排骨
红焖猪手,黄焖鸡块,麻花大虾,酸菜鱼,怪味鸡丁
黄豆小白菜,面筋扒油菜,松仁玉米,火爆双脆,粉丝娃娃菜
素炒银牙,西红柿鸡蛋,香菇油菜,蚝油生菜,火腿冬瓜
五香鸡胗,香辣拌肚丝,红油耳丝,青瓜拌牛肉,辣拌鸭珍
红薯,中原焖面,扁豆焖面,川味凉面,鸡蛋炒河粉
面食三种,面食三种,面食三种,面食三种,面食三种
稻花香米,稻花香米,稻花香米,稻花香米,稻花香米
红豆大枣汤,绿豆汤,绿豆汤,紫菜蛋花汤,西湖牛肉羹
酸奶,水果,酸奶,香蕉,酸奶
,西点,,卷心蛋糕,
,,,,
7 月 30 日至 8 月 3 日午餐（A 座）,,,,
周一,周二,周三,周四,周五
粉丝蒸扇贝,香江水煮鱼,香酥大虾,可乐鸡翅,玉米排骨
红焖猪手,黄焖鸡块,豆角炖肉,软炸里脊,炸耦合
黄豆小白菜,面筋扒油菜,双色藕片,蒸娃娃菜,木须西葫芦
素炒银牙,西红柿鸡蛋,清炒西兰花,口水茄条,白灼芥蓝
五香鸡胗,香辣拌肚丝,青瓜盐水鸭,红油猪肝,香脆饵丝
红薯,中原焖面,蒸玉米,风味凉面,油泼刀削面
面食三种,面食三种,面食三种,面食三种,面食三种
稻花香米,稻花香米,稻花香米,稻花香米,稻花香米
红豆大枣汤,绿豆汤,小米粥,绿豆汤,蛋花汤
酸奶,水果,酸奶,水果,酸奶
,西点,,西点,
,,,,
7 月 30 日至 8 月 3 日早餐,,,,
周一,周二,周三,周四,周五
烧饼夹里脊,鸡蛋灌饼,油条,茴香馅饼,手工白菜肉包
地瓜丸,手工豆沙包,蒸饺,奶黄包,京锅贴
玉米,鸡蛋,蒸山药,茶鸡蛋,水果黄瓜
鸡蛋,咸菜,茶鸡蛋,咸菜,鸡蛋
咸菜,炝炒豆嘴,咸菜,芹菜豆干,咸菜
凉拌土豆丝,小米粥,小柿子,八宝粥,小黄瓜
银耳莲子羹,,豆腐脑,,蛋花玉米羹
,,,,
7 月 23 日至 7 月 27 日晚餐,,,,
周一,周二,周三,周四,周五
飘香水煮鱼,麻辣鸡块,豉香排骨,宽粉烧肉,川香风味鸡
干煸四季豆,孜然肉丁,麻辣香锅,肉丝豇豆,干锅土豆条
鲜蘑肉片,鱼香肉丝,盐煎肉,水煮肉片,肉丝海鲜菇
地三鲜,爆三样,荷塘小炒,西红柿鸡蛋,蚝油瓜条
蚝油生菜,凉拌土豆丝,板栗烧菜胆,豆芽炒粉条,木耳蒯菜
米饭,米饭,米饭,米饭,米饭
馒头花卷,馒头花卷,馒头花卷,馒头花卷,馒头花卷
双色发糕,鸡蛋饼,水饺包,肉饼,杂粮包
疙瘩汤,番茄鸡蛋汤,酸辣汤,紫菜鸡蛋汤,绿豆汤
陕西凉皮,鸡蛋炒饼,豆角焖面,炒河粉,爽口凉面
酸奶,时令水果,时令水果,酸奶,时令水果
,,,,
7 月 23 日至 7 月 27 日午餐,,,,
周一,周二,周三,周四,周五
排骨鸡,菠萝咕咾肉,红烩牛肉,日式照烧鸡,香辣红烧肉
溜炒巴沙鱼,麻辣香锅,清炒虾仁,孜然炒肉,奥尔良炸鸡排
醋溜土豆丝,双耳爆油菜,鲍汁双花,白灼绿甘蓝,白灼芥兰
宽粉小白菜,松仁玉米,剁椒鸡蛋,香菇冬瓜,蒜泥茄子
红油耳丝,青瓜拌蒜泥肠,茄条棒棒鸡,麻辣拌肉,凉拌肉皮丝
蒸玉米,鸡蛋炒饼,蒸地瓜,风味凉面,油泼刀削面
面食三种,面食三种,面食三种,面食三种,面食三种
稻花香米,稻花香米,稻花香米,稻花香米,稻花香米
酸梅汤,绿豆汤,绿豆汤,银耳汤,绿豆汤
水果,酸奶,水果,酸奶,水果
,西点,,,西点
,,,,
7 月 23 日至 7 月 27 日早餐,,,,
周一,周二,周三,周四,周五
鲜肉包,肉夹馍,油条,蒸饺,豇豆肉馅饼
酱香饼,紫薯包,烧麦+玉米,蔬菜软饼,南瓜饼
煮鸡蛋,鸡蛋,茶鸡蛋,茶鸡蛋,鸡蛋
咸菜,琥珀金丝菜,咸菜,琥珀金丝菜,咸菜
炝拌豆嘴,拌三丁,拍黄瓜,凉拌三丝,圣女果
养胃小米粥,红枣银耳莲子羹,豆浆,蛋花玉米糁,紫米粥
,,,,
7 月 16 日至 7 月 20 日晚餐,,,,
周一,周二,周三,周四,周五
土豆烧牛腩,孜然排骨,香酥鸭,农家酸菜鱼,重庆辣子鸡
水煮肉片,肉丝海鲜菇,香辣鱿鱼须,干锅土豆条,鱼香肉丝
爆炒腊肉,西芹炒红肠,杏鲍菇炖肉,肉末四季豆,过油肉
香菇油菜,上汤奶白菜,红烧茄子,老干妈炒西葫,荷塘小炒
炝拌藕片,三色海带丝,什锦甘蓝,蒜香小白菜,银芽拌粉丝
米饭,米饭,米饭,米饭,米饭
馒头花卷,馒头花卷,馒头花卷,馒头花卷,馒头花卷
双色发糕,煎饺,手撕饼,杂粮包,鸡蛋饼
疙瘩汤,番茄鸡蛋汤,绿豆汤,紫菜鸡蛋汤,绿豆汤
陕西凉皮,鸡蛋炒饼,豆角焖面,炒河粉,爽口凉面
酸奶,时令水果,时令水果,酸奶,时令水果
,,,,
7 月 16 日至 7 月 20 日午餐,,,,
周一,周二,周三,周四,周五
麻花大虾,孜然羊肉,红焖狮子头,板栗烧肉,酱香猪蹄
红焖翅根,酱大排,炸耦合,香酥鸭,农家小炒肉
剁椒大白菜,百合炒木耳,西芹蟹柳白玉菇,银牙炒香干,黄豆盖菜
兰花素什锦,西红柿鸡蛋,蒜蓉快菜,粉条圆白菜,西葫芦鸡蛋
双芽香肠丝,五香鸡胗,麻辣鸭翅,酱香手撕肉,麻辣肚丝
葱油拌面,蒸玉米,炒河粉,川拌凉粉,陕西凉皮
绿豆汤,鸡蛋汤,绿豆汤,八宝粥,小米粥
稻花香米饭,稻花香米饭,稻花香米饭,稻花香米饭,稻花香米饭
玉米饼,蒸饺,小笼包,肉笼,蔬菜卷
花卷,白馒头,紫馒头,花卷,双色馒头
大饼,发糕,发面饼,豆包,小烧饼
酸奶,西点,水果,水果,西点
,水果,,,酸奶
,,,,
7 月 16 日至 7 月 20 日早餐,,,,
周一,周二,周三,周四,周五
老家肉饼,包菜猪肉手工包,油条,葱花饼,蒸饺
麻团+芋头,韭菜鸡蛋粉条盒,烧麦+毛豆,鸡肉糯米丸,酸菜馅饼+玉米
煮鸡蛋,盐水蛋,茶鸡蛋,茶鸡蛋,鸡蛋
咸菜,琥珀金丝菜,咸菜,琥珀金丝菜,咸菜
咸小花生,圣女果,香拌土豆丝,凉拌三丝,水果小黄瓜
红枣银耳莲子粥,养胃小米粥,豆腐脑,花生绿豆粥,紫米粥
,,,,
7 月 9 日至 7 月 13 日晚餐,,,,
周一,周二,周三,周四,周五
红烧鳕鱼,农家一锅鲜,干烧瓦块鱼,鸽蛋海带烧肉,酱香鸡腿
肉末四季豆,水煮肉片,土豆焖鸡块,鱼香肉丝,毛血旺
生爆盐煎肉,冬瓜烩牛丸,农家小炒肉,木须肉,豌豆鸡丁
炝拌土豆丝,青笋炒鸡蛋,红烧茄子,家常西葫芦,豉油绿甘蓝
果仁小白菜,豆芽焖粉条,蒜香菜心,尖椒土豆片,鱼香茄条
米饭,米饭,米饭,米饭,米饭
馒头花卷,馒头花卷,馒头花卷,馒头花卷,馒头花卷
双色发糕,手撕饼,窝头,鸡蛋饼,芝麻烧饼
疙瘩汤,绿豆汤,蛋花汤,绿豆汤,红枣粥
陕西凉皮,麻酱凉面,素炒饼,豆角焖面,炒河粉
时令水果,酸奶,时令水果,酸奶,时令水果
,,,,
7 月 9 日至 7 月 13 日午餐,,,,
周一,周二,周三,周四,周五
鹌鹑蛋烧肉,干炸黄鱼,重庆辣子鸡,京味酱牛肉,玉米排骨
奥尔良鸡排,涮羊肉,三鲜汆丸子,川蜀酸菜鱼,川香鸡柳
滑蛋蟹柳,西芹百合果仁,小炒合菜,干煸长豆角,地三鲜
手撕包菜,醋烹土豆丝,白灼芥蓝,蒜蓉小油菜,粉丝小白菜
盐水鸡,椒油耳丝,茄条棒棒鸡,西芹肉皮丝,麻辣鸡丝
豆角焖面,麻辣凉粉,蒸玉米,风味凉面,炒意面
绿豆汤,双丝大枣汤,紫菜蛋花汤,绿豆汤,酸梅汤
稻花香米饭,稻花香米饭,稻花香米饭,稻花香米饭,稻花香米饭
发糕,馒头,烧饼,玉米饼,蒸饺
花卷,肉笼,紫米馒头,肉饼,发面饼
肉包,大饼,花卷,菜花卷,馒头
酸奶,西点,水果,水果,西点
,水果,,,酸奶
,,,,
7 月 9 日至 7 月 13 日早餐,,,,
周一,周二,周三,周四,周五
蒸饺,梅干菜手工肉包,肉夹馍,豇豆肉馅饼,三明治
蔬菜软饼+红薯,白菜粉条鸡蛋馅饼,紫薯包,奶黄包+玉米,肉松排
煮鸡蛋,卤蛋,茶鸡蛋,茶鸡蛋,核桃牛奶
咸菜,咸菜,咸菜,咸菜,
拌土豆丝,咸小花生,西芹腐竹花生米,爽口瓜条,
绿豆薏仁粥,养胃小米粥,豆浆,蛋花玉米糁,
,,,,
,,,,
7 月 2 日至 7 月 6 日晚餐,,,,
周一,周二,周三,周四,周五
养生排骨,四喜丸子,口水鸡,酱香腔骨,干烧黄鱼
肉丝拉皮,冒菜,双耳爆肉片,杏鲍菇炒五花,肉末四季豆
过油肉,青笋木耳肉片,干锅茶树菇,豇豆肉丝,韩式辣酱炒三丁
滑子菇烧菜心,豆角烧茄子,筷菜炒粉条,西红柿鸡蛋,红烧茄子
什锦花生米,菠菜粉丝,烧二冬,香拌土豆丝,爆三样
米饭,米饭,米饭,米饭,米饭
馒头花卷,馒头花卷,馒头花卷,馒头花卷,馒头花卷
紫面发糕,煎饺,杂粮窝头,手撕饼,油酥饼
疙瘩汤,绿豆汤,蛋花汤,棒渣粥,绿豆汤
豆角焖面,开胃凉皮,麻酱凉面,蛋炒饼,什锦炒饭
时令水果,时令水果,时令水果,时令水果,酸奶
,,,,
7 月 2 日至 7 月 6 日午餐,,,,
周一,周二,周三,周四,周五
虎眼丸子,万州烤鱼,清炒虾仁,香辣翅根,酱猪手
可乐鸡翅,东北乱炖,软炸里脊,坛子肉,毛血旺
面筋扒油菜,酸辣大白菜,素什锦,黄豆盖菜,耗油西葫芦
双椒鸡蛋,红烧茄子,豉油椒圈,松仁玉米,炝炒土豆丝
银芽鸡胗,椒麻百叶,红油耳丝,豇豆肉丝,爽口香肠
蒸红薯,鸡蛋炒饼,陕西凉皮,红油热干面,蒸玉米
绿豆汤,银耳雪梨汤,棒骨大枣汤,酸梅汤,绿豆汤
稻花香米饭,稻花香米饭,稻花香米饭,稻花香米饭,稻花香米饭
肉饼,发糕,鸡蛋卷饼,素包子,豆包
花卷,大饼,紫米小馒头,双色花卷,肉笼
馒头,蒸饺,花卷,馒头,蔬菜花卷
酸奶,西点,水果,西点,酸奶
,水果,,水果,
,,,,
7 月 2 日至 7 月 6 日早餐,,,,
周一,周二,周三,周四,周五
芝麻肉饼,红豆豆沙饼,煎饼,白菜粉条鸡蛋馅饼,汉堡
糯米饭团+玉米,手工猪肉茴香包,奶黄包+蒸红薯,烧麦,老婆饼
煮鸡蛋,煮鸡蛋,茶鸡蛋,茶鸡蛋,
咸菜,咸菜,咸菜,咸菜,
爽口木耳,西芹花生,红萝卜粉丝,爽口笋丝,
银耳莲子羹,蛋花玉米糁,豆腐脑,皮蛋瘦肉粥,麦香果粒奶
